Sample,Type,tissue,A0A075B6H7,A8K2U0,E9PAV3,O43813,P04080,P05386,P05976,P06396,P06753,P08590,P08779,P09104,P09211,P12277,P12882,P12883,P13646,P14649,P15531,P17661,P19013,P21266,P21333,P24844,P25311,P27695,P35030,P35268,P49221,P49961,P55001,P56537,P61160,P61769,P61978,P62834,P78417,Q04446,Q08431,Q15847,Q15907,Q7Z5L7,Q8IUE6,Q969G5,Q96A08,Q9H853,Q9P1U1,Q9UKX2,O75131,P01833,P02533,P13647,P15309,P18510,P28072,P31151,P31947,P51148,P60981,P78527,Q13835,Q15124,Q9BR76,Q9P0M6,Q9UBG3,Q9Y4G6,O15144,O95865,P12273,P26373,P29536,P31948,P51571,P68871,Q02383,Q07954,Q96DR5,Q9HB40,Q9NSB4,Q9NZN4,O15127,O94760,P15259,P23284,Q02952,Q53EL6,Q53GG5,Q92835,Q9HAV7,Q9NP72,O75367,O00299,P07205,P49863
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Esophagus,0.0010229328390539824,0.05007885170584489,0.0004987383391795398,,0.0020688365523645513,,0.003389139117324708,,0.007263414529318078,0.003138421594532945,0.0011811272381088253,,,,0.010298704792510785,0.00048640634798900186,0.0019787905974338847,0.023760796516648988,,,0.0015074273316574773,,,,,,,,,,,,,,,,,,,,,,,,,0.0007993283886578819,,0.0018097175552218552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Prostate,,,,0.0017218127733486092,0.0015534071780358113,0.0003561882770068511,,,,,,,0.00041769846796221356,0.0038965069084298883,,,,,0.0038302324277726977,,,,0.0019360224329878306,,,,0.0005523352387817529,,0.0496835094799643,,,0.0003612160656047544,,,0.00443962694065049,0.03600520636438296,,,,0.0015481188027504566,,0.003655675457733724,,,,0.0003397171973899953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Testis,,,,0.0013656663395313238,0.0007261935154467187,,,,,,,,0.0008352864632468713,0.004228909378606675,,,,,0.0004461611868020383,,,,,,,0.0007110986773840352,,,,,0.001898789404394173,,0.0006889221896467633,,0.0007409355226610698,,0.0020504870723173484,,,0.0005594027509772464,0.0406333684788056,,0.000478508482319533,,0.030166213974354227,,0.0005968893801624051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Ureter,0.013728928053323349,,,,0.0021851783420708294,0.000517168046428647,,,,,,0.0011957182696896798,0.0018128350102112984,0.00532584030430489,,,0.008541871241968762,,,0.0005017792770037882,,,0.005845264911846723,0.0004305176876319319,0.00045395182679522074,,,,,0.0006904108326959668,,,,,0.00977596685916397,,0.004300567091645849,,,0.0026846239735710898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d,VSMC,Adipose tissue,,,,,0.0013531007326516237,,,0.0012726102234282897,0.004424994210429397,,,,0.00035808929775085513,,,,,,,,,0.00028759368936569804,,,0.0004012161391907478,,0.0014740895799879468,0.022260539681953448,,,0.0009195604313145555,,,0.0009056754843385126,,,,0.021854538455086364,0.0003411027479378756,0.0015438282016006534,,,,0.017038834268057277,,0.00045888214599086743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Prostate,,,,0.0017519633839710295,0.001408693477841081,,,,,,,,,0.003860253988390514,,,,,0.004705043822986087,0.0004048116857956305,,,0.0020661035780715205,,,,0.0005523352387817529,,0.051586622331667435,,,,,,0.004131452110806464,0.03573123534899984,,,,0.001845687545550882,,,,,,0.0005077517316440311,,,,,,,,,,,,0.0004742703956103065,,,,,0.0004336351720469465,,,,,,,,,,,,0.0076245305544887405,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Esophagus,0.0010222239778077417,0.05007885170584489,0.0004987188412918197,,0.001911252652794954,,0.0035224427886023538,,0.007403025226868673,,0.0011811272381088253,,,,0.011253045070425457,,0.0022871915537574575,0.0234079305743878,,,0.0015074273316574773,,,,,,,,,,,,,,,,,,,,,,,,,0.0006604976047103253,,0.0018984318813452122,,,,,,,,,,,,,,,,,,,,,,,0.0005148501226883398,,,,,,,,,,,0.0005087556521511191,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Testis,,,,0.0012334928679902015,0.0008995292494424232,,,,,,,,0.0007189195214266378,0.004192656458567301,,,,,,,,,,,,,,,,,0.0020677731358769024,,0.000678355011006669,,0.0007647318657927194,,0.0021532781722587518,,,0.000547006134216982,0.03989972443654243,,,,0.03264509254678191,,0.0005968893801624051,,,,,,,,,,,,,,,,,,,,,0.0013461048856321725,,,,,,,,,,0.0014074798292392165,,,,,,,,,,,,0.014068811902762038,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Ureter,0.01275228531266821,,,,0.001977279202137014,,,,,,,0.0011957182696896798,0.0016185895394763593,0.005741556359006927,,,0.00934698398844909,,,0.0007456830742387552,,,0.005964963982802471,,0.0007370141050811237,,,,,,,,,,0.01002351064945341,,0.004635395762050031,,,0.002764083475422782,,,,,,,,,,,,,,,,,,0.0013339039194059338,,0.0008893959793133496,,,,,,,,0.0025179105027713883,,,,,,,,,,,,,,,,,,,,,,,,,,
T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d,VSMC,Skeletal muscle,,,0.0012860109385145284,,,,0.0008494286262730267,,0.000213252721535348,,,,,,0.0014258709129934869,0.00022996370934892543,,0.002132647622071811,,0.00016316092989520666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015321954420380117,,0.00012402136202979,0.00019061465954746067,0.0003344229176153417,0.0003010934340018141,0.04350378854131287,0.00011677618268308719,0.00012538699624323305,,,,,
