Genes	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
A2M	9940.45	8820.36	8805.84	5076.14	6846.06	1848.58
A2ML1	4052.27	22254	23306.4	25297.1	16285.2	35864.3
ABI3BP					19265.3	
ACP1	4739.73	2307.28	5301.07	5227.86	5368.1	4386.77
ACP3		667.65	735.505			642.366
ACTC1	339711	75348	275010	178918	469856	132595
ACTG2	161585	316735	914237	302625	860569	
ACTN1	64851.5	20968.8	34454.8	55213.7	50333	37162.4
ACTN4	30784.1	24488.9	47022.2	36917.1	104736	13871.4
ACTR1A	2566.04		537.922		297.961	
ACTR2	8468.38	8155.42	9628.25	6205.96	12254.5	
ACTR3	4081.88	6813.79	2265.24		5061.91	
ADD3	2890.14					
ADH1B	25770.9	2853.15	8600.75	28447.6	17679.6	5870.85
ADH5	6878.01			6522.89	6937.06	
ADIRF	19878.5		4992.31	11516.7	11756.7	5203.85
AEBP1	22881.4	11523.6	10424.5	3599.37	17865.9	
AHCY	4177.58	11418.8	13805.9	16122.7	8968.29	9862.92
AHNAK	25502.1	20493.8	27761.6	21798.1	23044.2	24359
AHSG					5197.76	
AKAP12	3155.1					
ALAD			7281.86			17180.2
ALB	190787	346052	746545	484007	746797	248940
ALCAM	1002.17		470.02		1019.55	
ALDH1B1		3127.02	743.145			
ALDH2	5355.11			4942.96		
ALDH6A1	4976.55					
ALDH9A1	6875.15	11268.8	15274.4	7373.23	8534.26	6722.32
ALDOA	22102.6	58050.8	23715.5	38439.8	22639.9	16236.9
ALOX12B	15079.4	41549.5	37828.4	54551.4	27535.1	52222.2
ALOXE3	5843.51	18250.7	12879.8	12576.9	6097.59	22858.3
ALYREF	3176.34		1525.15		1197.04	
AMBP	24893.6	13553.6	25911	19428.5	28737.4	13673.8
ANGPTL4	7509.6					
ANXA1	36353.9	96946.2	23292.3	30753.8	25558.6	16062.6
ANXA11	4778.6	7194.18	8679.12	5748.98	10091.4	11625.6
ANXA2	25585.2	70896	70041.3	53977.9	39415.8	45207.7
ANXA4	33163.8	13133.7	31232.2	24044.1	46274.6	11249.5
ANXA5	137177	51112.5	59178.1	93773.8	94555.3	41190.5
ANXA6	21265.1	6443.35	23906.4	20056.7	27739.1	17236.4
ANXA7	5800.77	6118.57	8365.66	8685.48	12469.5	5952.07
AOC3	569167	36710.5	167104	318106	177875	147649
AP2B1	3163.28		5879.43		6352.21	3779.42
AP2M1	1678.67					
APCS	413120	28305.8	98967.5	60481.2	199833	21718.5
APEX1	4151.87					
APOA1	29644.5	6797.43	41690.2	28737.2	59554.1	12875.2
APOA2	6935.91		10965.7	5943.31	12589	3217.07
APOA4	3797.32				1575.41	
APOC3	6667.41		7155.74	3616.62	5024.07	
APOD	20375.1	57975.1	101706	59157.1	36585.3	71331.9
APOE	98284.2	5587.57	20673.9	9160.6	35667.5	7915.29
APOH	2314.88	3139.22	10121.1	3310.26	12333.9	
ARF6		1616.28				
ARG1	13247.5	146707	166305	86461	81182.5	138349
ARHGAP1	4503.49	6245.67	3001.29	4261.52	8925.45	
ARHGDIA	2953.61	6228.07	3614.8	4734.56	3072.29	4016.88
ARPC2	13863.8	10646.8		6697.55	7641.75	1824.53
ARPC3	878.603		1263.77	2885.89	807.861	3119.67
ARPC4	5388.3	11593.7	15174.7	17149.1	21415.1	8820.97
ARPC5	14093.6	15900.2	21913.1	14638.9	22916.9	6533.79
ASAH1	6587.66	18026.1	14323.5	18659.9	9629.42	42507
ASAP2					6108.26	
ASPN	15808.6	8368.04	14966.7	4981.83	27195.5	
ASPRV1		2969.21	7257.6		3695.57	4517.47
ASS1	3143.17			5335.73		
ATL3	4138.65	1067.5	2704.13	1653.87	1598.12	1193.13
ATP1A1	3858.72		2297.75		1618.53	
ATP2B4	4197.61		1891.97	3775.26	3895.62	
ATP5F1A	46339.5	11886	27113.6	26634.9	39762.2	17525.8
ATP5F1B	371046	12247.9	202659	22957.2	773869	17878.5
ATP5F1D	6052.28		2713.08			2417.16
ATP5PD	5377.58				4626.73	
ATP5PO	3724.1	3160.66	3374.1		6226.71	
AZGP1	19126	159053	112928	107583	80350.9	230170
B2M	5525.41	4171.83	3906.18	7735.79	3368.11	4633.89
BCAM	29976.1		17199.4	20962.4	17118.9	11869.8
BGN	279473	184858	167247	159457	218901	37968.4
BLMH	13595.2	55043.1	52289.8	43142.5	26283.1	92296.1
BPIFA1		2377.94	6810.94	5243.45	1647.59	1781.69
BPIFA2			5335.44			
BPIFB1			1937.38	763.136		
BTN1A1				23804.7		
C11orf54					2453.59	6472.08
C1QA	28045.3		25952.4		82977.1	
C1QB	27833.8	24761.4	29115.8		91061.7	
C1QC	24572.3	12566.5	17827.6		55768.4	
C1QTNF5	168033					
C3	32812.1	17550.8	48121.8	38015.8	46747	10495.8
C4B_2			8253.84	4807.72	18651.3	
C5	22566.9				8976.85	
C6	6331.35		2113.48		8518.67	
C7	6643.41		618.367			
C8A	13854.4		5895.82		6995.02	
C8B	17725.7		4286.71		4659.04	
C8G	14883.1		5101.15		7373.77	
C9	164962	54376	53533.5	64469.6	140898	33272.6
CA1	5246.72	4729.65	6684.11	18511	10037.1	5870.52
CALD1	32528.1	23320.4	40448.6	34911.7	83164	17521.7
CALML3	3273.76	5819.66	16865.3	7586.34	4698.63	8564.64
CALML5	62278.2	76860.2	120685	104813	64671.4	103822
CALR	6539.98	16332.3	14166.8	20724.9	11152	8636.87
CANX	4787.66				2560.64	
CAP1	2193.9	4755.11	4011.17	5976.8	3280.56	2401.08
CAPN1	19937.7	34956.1	36863.1	34443.9	21680.5	68015.7
CAPN2	8962.68	3450.93	3580.47	7857.92	4047.76	
CAPNS2		3507.72	4588.22		2780.97	6678.8
CAPZA1		3782.85	1805.67		2143.28	1722.71
CAPZA2	3162.94		6869.38		7931.11	6496.79
CAPZB	7609.22		11965.7	7421.79	8982.43	4832.43
CASP14	25986.6	162527	113056	93282.5	82017.7	210910
CAT	25374.7	49369.7	114255	73327.5	48407.3	141182
CAV1	43202.7		15782.3	32830.1	26732.5	11841.7
CAV2	4950.12			4880.39	3394.33	2139.38
CAVIN1	68042.3	5286.6	43030.5	57582.5	62035.6	32008.8
CAVIN3	35857.2		35223	41301	40574	14385.9
CCDC3	9653.1					
CCN2	7622.46		398.133			
CCT7	1418.97	1555.73	1625.16	2927.5	1972.14	
CCT8	3966.56		3240.12	8218.88	6366.99	2697.96
CD14		1389.04		2162.89		
CD151	3821.22		1893.28	1352.7	2504.1	814.352
CD47	7917.34					
CD59	6257.59	4410.84	3805.11	4687.59	4545.55	2583.9
CD9	10070.6		4350.57	4162.01		
CD99	3386.74		1935.4	4286.42	6154.2	
CDA			1349.93		4352.16	12826.2
CDC42	2612.71	1857.58	3108.31	3415.75	3288.71	2108.3
CDH13	4671.34		6230.31		12076.1	
CDSN	5644.51	58069.7	83141.1	43805.8	24094.8	103365
CEL				40879.7		
CFB			6876.46		6699.83	
CFH	5680.8	4450.45	8465.84		7690.47	
CFHR1	11048.3	3626.1	10110.9		16198.3	
CFL1					2075.59	1841.39
CKB	52568.5			26588.5		35540.4
CKM		26809.1	3882	12479.6	4568.67	
CLEC11A	3671.73					
CLTB	4862.55			5317.53	4816.84	
CLTC	5886.14	4527.36	6378.44	5652.11	5838.94	4223.32
CLU	105532	8825.61	64614.4	19695.3	73820.6	15183.5
CNN1	63937.4	29388.4	64900.7	80612.1	82866.9	35879.3
CNN2	2909.31		9691.35		17617.7	
CNN3	3843.75	5690.84	12362.3	2556.35	13806.5	
COL11A1	56111.8			20311.2		
COL12A1	20101.1	11150	14093.3	5153.74	28491.7	4772.23
COL14A1	90013.9	44820.8	68775.3	64092.7	93654.6	17574.3
COL15A1		4492.31	665.377			
COL18A1	342053	54429.5	124009	81125.9	151666	44797.7
COL1A1	2.66028e+06	923104	1.40379e+06	2.68104e+06	2.6997e+06	331031
COL1A2	2.58707e+06	1.13056e+06	1.7356e+06	2.99443e+06	2.82432e+06	383307
COL21A1	49188.3	12437.2		10533.2	22278.1	
COL28A1	4701.68					
COL3A1	1.83183e+06	508608	565326	1.18444e+06	1.46461e+06	178950
COL4A1	113158	16514.5	53043.2	46795.2	56902.1	24360.6
COL4A2	768512	54389.2	280507	259876	397126	165347
COL5A1	306885	59648.7	58348.2	76380.5	98504.3	23054.2
COL5A2	20766.5	6155.05	11335.7	13333.6	23922.4	2704.94
COL5A3	12126.4		4978.46		5762.37	
COL6A1	359327	54182.4	131243	154581	348363	22400.3
