tissue,P02775,P10599,P07357,P18206,P02100,Q14CX7,O94919,P00748,Q96G03,Q9Y2K3,P09211,P00352,P69905,P01780,Q86U44,O14733,P04217,P20930,P09417,A0A0C4DH34,Q9H361,P06396,P06312,P29317,P18433,P43652,P04406,P61626,P62937,Q8ND04,P00441,Q09666,Q9NYU2,P15531,Q99698,P29508,P00491,P16157,Q9NZT1,P49137,P08603,Q6UW63,P30086,P62979,O94806,P02750,P14174,P62834,P31151,Q9C0D5,Q9Y4W6,P19652,P27986,P10643,P30043,P25325,P00167,P23443,A8K7I4,P61970,P01019,P21333,P23526,Q9UK61,P38606,Q96PD5,A0A075B6I0,A0A0C4DH25,Q8IWJ2,P02787,P09960,P02647,Q06323,Q9BX95,P02730,Q9NP72,P09105,Q9NZD4,P02042,Q9HA64,P08253,Q08554,P02008,Q7KZ85,Q96F24,P13645,Q9NQG5,P13716,P14923,O75694,O75368,P60174,P15924,O75554,P08575,P01602,P00450,P37837,P61956,Q6UWP2,P06727,P35754,Q14789,P68402,P81605,Q15149,Q9H9B4,Q9Y2Q0,P78417,A2RRP1,P16949,P02790,A0A0C4DH38,Q7Z7H5,P02765,P31944,Q6XQN6,O60783,Q7LBC6,P01024,P16144,Q04760,O95831,Q9UNZ2,Q5D862,P51884,Q6DKK2,O43395,P49189,Q9BV73,Q6P2E9,Q9Y6I3,P17900,A0A075B6H7,Q93034,P01008,P02763,P05109,Q96JH7,Q96LB3,A0A0B4J1V0,P28066,P49247,P00918,Q9BWD1,Q6V0I7,Q6PGP7,P02749,Q5VTE6,Q9NW08,Q9Y259,P00558,P01871,Q93100,P01023,Q5TAQ9,P06703,O60678,P50747,P00338,P00492,P52735,P18669,Q9UJA5,P04196,P12955,P04264,P45985,Q9H7P6,P50395,P08185,Q96RW7,P04040,Q02413,P05543,Q5TDH0,P62195,Q13228,P02452,Q9NP98,P68871,Q9NPA8,Q9H8M5,Q9ULV0,P16152,P36543,P62258,P01700,P09104,P12273,P13489,P04004,P32119,P58546,Q9Y4D1,Q5KU26,O75151,P19827,P28072,P02760,P01009,Q14146,O15020,O95171,P05546,P30041,Q08378,Q9GZP4,Q01469,Q9H9Y2,Q9UMS6,P01042,Q16666,Q9P2E3,Q08380,Q8IZH2,Q709C8,P08581,Q5VUJ6,Q9H0U9,P49773,P11766,P02671,Q9UJX6,Q15075,Q9UBR2,P02549,O15294,O60503,P17174,Q16610,P26639,Q8N5C6,Q9H2D6,Q9H9Y6,P06702,P07738,Q9Y696,O60522,Q86YZ3,O95183,Q3YEC7,Q15772,Q9BS40,P26447,Q14676,Q96EY7,P02743,O95747,Q6P4E1,P24666,Q9NR99,Q96T58,P25054,Q13409,Q5U651,O75882,P05091,P07451,Q13630,Q9Y5B9,P36955,P35612,P25311
Monocytes,0.0008380844405804672,0.0,1.4097446715704066e-06,-7.22585850210954e-05,0.0,0.0,-9.837045148371135e-06,0.0,0.0,-0.0005855138541547479,0.000494271514408933,3.826705393574209e-06,-3.343586160009829e-05,0.0,0.0,0.0,0.0,-0.0029018259351929403,0.0,0.0,0.0,0.0,-2.571428571428566e-05,0.0,0.0,0.0,0.0,0.009685365387810587,0.0,0.0,0.0,4.131329899006135e-06,0.0,-5.192484861571116e-05,0.0,-0.0010119664105508025,-5.660578704579337e-06,-4.4169601129438514e-05,-0.0008402328364906062,0.0,-5.312767312107116e-05,-0.00018184300727628477,-5.210633465044689e-06,-2.727268972405392e-06,0.0,-0.00010494498381007039,-7.72543209416343e-05,0.0,-0.001382814986566702,-1.5870254076634095e-06,-2.9564455987854792e-05,3.6240527144698686e-06,-0.00022858324346911865,0.0,0.0,0.0,0.0,-0.00015866524090207831,-0.005743362504115491,0.0,-2.2668328833505048e-06,0.0,0.0,0.0,0.00033399303293182685,0.0,-0.0004540079954327562,0.0,0.0,-0.0021522700711411992,0.0002761920170133138,-1.079768380193906e-05,0.0,0.0,-1.3752647996736418e-05,-1.1859987669162255e-05,0.0,0.0,0.0,0.0,0.0,-7.888238209865614e-06,0.0,-2.3043977642312272e-05,0.0,-7.716284936256848e-05,0.0,0.0,-6.466713801054366e-05,0.0,0.0,0.0,-0.0006641195458677633,-6.1756699166356725e-06,0.00027294208145804065,0.0,0.0,0.0003787941681750387,0.0,0.0,-4.300440312386785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013587008669293235,0.0001622587310537271,0.0,0.0,0.0,-0.00010762931307098665,0.0,0.0,0.0,-0.00032861310243856084,-8.603284182640394e-06,-0.00013029310661171915,0.0,0.0,-0.0007798191134035915,-0.0005918702181546166,0.0,0.0,0.0,-2.1152031562836315e-05,0.0,0.0,0.0,-2.9531629434528296e-06,0.0,5.488626230575972e-05,-2.144181624812851e-05,0.015409865803211067,0.0,-2.966707016857867e-06,-8.642689544706445e-06,2.7719653074193103e-05,0.0,-2.42624428653527e-05,3.032687162554805e-06,-1.6977133981999927e-05,0.0,0.0,0.0,0.0,0.0,0.0,-6.177602748460926e-05,-6.279088713863096e-05,-0.0004054557801587414,0.0,0.0,0.0,0.0,0.0,-0.0002109978885635143,0.0,0.0,0.0,-1.2148916588417948e-05,-6.170916106504184e-06,0.0,0.0,0.0,0.0,0.0,-3.971737067825114e-06,0.0006258941024218924,-0.00016918212721000507,-1.1402380757871003e-05,0.0,0.0,-0.0003631219633817047,0.0,-0.005249573335210465,3.134059071759533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8094549556886722e-05,-0.005774343835604986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4438664785155184e-05,0.0,2.16878263260041e-06,-1.9996773519754342e-05,0.0,-6.569869306906879e-05,-6.3147320498665846e-06,0.0,0.0,-5.376366596626622e-05,0.0,1.422742933652684e-05,-4.674115369289929e-06,0.0,-3.376721010087803e-06,3.7881097477673535e-06,0.0,-2.4364413519048308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010317459222720631,0.0,0.0,0.0006205260515445575,-4.2602322502531695e-05,0.0,0.0,-0.0010394359261626457,0.0,-7.940876095590272e-06,0.0,0.0,0.0,0.05612663604978347,0.0,0.0,-0.0014359979402756554,-1.774073922371112e-06,0.0,-5.033232608487e-06,-0.0029500595348866355,0.0,0.009909781051175471,0.0,0.0,-2.9172684518120463e-06,0.0,0.0,5.911608482324737e-05,-5.825272476764152e-06,0.0,0.0,0.0,0.0,-6.795751725736704e-07,0.0,-0.0015928074203064974,0.0,-1.016822125477082e-05,0.0,0.0,0.0
Skeletal muscle,-7.6199225373945975e-06,0.0,-1.1865103988621265e-06,-1.8180499567282116e-05,0.0,0.0,3.334692915231789e-05,0.0,0.0,0.007835940883375199,0.0,6.884913771260045e-06,0.0,0.0,0.0,0.0,0.0,-0.0014241785909744303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015817496664859105,0.0,0.0,0.0,-1.4176497295464622e-05,0.0,0.0,0.0,-0.0012631409254214368,0.0,-4.1882443611044765e-05,-0.0002093391631482567,0.0,0.0,0.0,0.0,0.0,0.0,-3.986020650466402e-06,0.0,0.0,-0.0003195457687536688,0.0,0.0,0.0,0.0,-1.9956324103518596e-05,0.0,0.0,0.0,0.0,-0.0017699978484181102,0.0,0.0,0.0,0.0,0.0,0.0,-2.6752678577645965e-06,-5.168120344151638e-05,0.0,0.0,0.00016110120271870963,-1.764130196006312e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.495060483497826e-06,0.0,-7.689067386430912e-06,-3.180345072036002e-05,0.0,0.0,0.0,-6.672848496122336e-05,0.0,-7.788828635145058e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0728757741307195e-05,0.0,0.0,0.0,-2.359143715347087e-05,-1.9343715946962754e-05,0.0,0.0,0.0,-4.279561161804111e-05,0.00018465693826334316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001494731173157118,0.0,0.0,0.0,0.0,0.0,-2.0902152817731096e-05,0.0,-3.291047597137909e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.0292433102228175e-05,0.0008031386125889579,3.4294873864460144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0070834535247405e-05,-1.6373036660923591e-06,0.0,0.0,0.0,0.0,-5.236957645089438e-06,-2.8235102993244292e-06,-1.1072445374477724e-05,0.0,0.0,0.0,0.0,8.470308748097133e-07,0.058555881861051755,5.060425148768393e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.3089494290280996e-06,0.0,-0.002285153064284324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.458886606909868e-05,-2.1359666825295465e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.0300228958524514e-05,-1.4341896742600486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010352450175034512,0.0,0.0,0.0,4.208205497901833e-05,0.0,0.0,0.0007011614509297315,-1.4406959292152575e-06,0.0,0.0,0.0,0.0,-0.001322906738333005,0.0,0.0,-0.00010531867030617192,0.0,0.0,0.0,0.020729902287650797,0.0,-0.00035026166198154097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0852374766195169e-05,2.442846218785815e-06,0.01350602263682292,0.0,0.0,0.0,0.0,-2.1213406391811094e-05
Salivary gland,-0.00021602646163506337,-2.7243100784782312e-06,-1.9419131411359552e-05,-0.001244014075757405,7.058384655971301e-06,0.0,-1.4046621493219041e-05,-1.5901364589200226e-05,2.8038046738474336e-05,-0.0006968652736681566,2.2249035281259007e-05,-4.12568808476522e-05,9.414182748577256e-06,0.0,0.0,0.0,0.0,-0.0016180719701276809,0.0,0.0,0.0,0.0,2.0190657821210198e-05,3.2609115471417414e-05,0.0,-5.365803593895479e-06,-4.6490057516134796e-05,-0.0013348674940692438,0.0,-9.295255048242053e-07,1.0398607829323648e-05,-6.321008575617962e-05,0.0,0.0,0.0,-0.0009125540936171249,-2.943667221311763e-05,-7.451922187047276e-07,0.005017657495425284,-4.161404136191599e-06,-1.0340309172586464e-05,-1.6891717211229308e-05,-5.998936814879507e-05,-1.4354047223186276e-06,0.0,-0.00013471895996420986,0.0,0.0,-0.001955640102076108,-3.29490053318837e-06,-6.5535672644569015e-06,-7.755116345650546e-06,-1.5475882960618083e-06,-3.157317823560141e-05,0.0,0.0,-1.6043959256659025e-05,0.0,-0.004023521804550057,0.0,-1.8551844553365703e-06,0.0,0.0,0.0,0.0,-2.2603017324942574e-05,-0.0003746152150626327,0.0,0.0,2.9245381024086613e-05,1.165157053628347e-05,-7.931608183190506e-06,0.0,0.0,-1.561949731179669e-05,0.0,0.0,0.0,0.0,0.0,-4.619517250596406e-06,-7.519606591528169e-05,0.0,-3.4069345879103543e-06,0.0,-0.00019016806094347916,0.0,0.00022508090130204245,1.983439535939726e-06,0.0,0.0,0.0,0.000522645322212514,-8.998317983623711e-06,-0.0004767704871377917,0.0,0.0,0.0,0.0,4.356134773950774e-05,-0.00011024391879790834,0.0,0.0,0.0,0.0,0.0,-8.379389298453526e-06,0.0,0.0,0.0,-1.6954227476521724e-05,-0.000177112479209922,-1.415136146617133e-06,0.0,-1.6546536723720803e-05,-0.0008034947306869366,0.0,0.0,0.0,-0.00025664369532847164,0.001089872380545966,0.0,-1.3171249932825712e-06,0.0,-0.0002583275578137594,3.382494501600361e-05,0.0,0.0,6.1926464177037115e-06,0.0,0.0,-2.6501350190435772e-06,0.0,-9.699833365677246e-07,-7.3226369101976325e-06,-0.00012163422310563189,-0.00012122634523345433,-0.0013853697780026306,0.0,-0.00013123909645594965,-1.414268373184869e-06,-2.6617430623153114e-06,0.0,0.00014952801354292086,0.0,-0.0003090665075697209,0.0,-3.800229296055793e-05,0.0,0.0,-7.187754792153245e-06,-9.771858202712057e-07,-3.026934421236382e-05,-8.53420229526203e-05,-0.00024149809858923943,0.0,-5.760576810043382e-06,0.0,0.0,0.0,-4.055669906199734e-06,-1.2698496879079593e-05,0.0,0.0,7.129979090491149e-08,-0.0006119038678760679,-4.7621766445634603e-05,0.0,0.0,0.0,-2.6525853307884807e-06,-0.00020756437490145448,0.00021506734654050413,-0.00019107604146044975,1.779087373327971e-05,0.0,0.0,1.991636175497789e-05,-1.937668629329809e-05,-0.0015873861924402496,0.000359904771784308,-0.0004174725457489809,0.0,0.0,-2.3634163989304925e-06,0.0,0.0,-3.582513827382586e-05,0.0,0.05116616167310068,-1.9420651314883008e-06,6.3042692065809065e-06,0.0,2.2929139174307516e-05,6.88917942346354e-05,0.0,0.0,-9.090109237940377e-07,-5.049043639829826e-06,0.0,-7.73297975100709e-05,0.0,0.0014958833857659612,-6.590835722973899e-06,-9.161992334567587e-05,0.0,7.76365204842386e-06,-2.0907288026787587e-06,-1.5475882960618083e-06,0.0,0.0,-3.464362870114925e-05,0.0,0.0,1.1258174906064014e-05,0.0,-4.9487770620908265e-06,-2.1686067455037455e-05,0.0,0.0,0.0,-5.223079046239298e-06,-0.0005309736884433992,0.0,-6.856733728530298e-07,0.0,-3.0042241369989515e-05,0.0,0.0,0.0006198435768091073,-3.033044061505805e-06,-7.709766647257191e-05,0.0,0.0,-3.9389369702716085e-06,-0.0024512004366195,-9.569339772194135e-07,0.0,-0.0009313588011205477,-1.1278539187881243e-05,0.0,-2.6490697939405265e-06,-0.0006561093046879759,-1.836793359472185e-06,-0.00028821651521116935,0.0,0.0,-7.427827714971142e-06,0.0,0.0,0.0,-0.00013976634776754126,0.0,0.0,0.0,0.0,-0.0003479472389161526,3.3125233934979175e-05,-4.401853798889974e-06,0.0,0.0,-7.65784462889912e-07,0.0,1.5967938410051534e-05
Ovary,-0.0004355533527211872,6.149082062776236e-07,3.574221224294842e-05,-0.00033193323844386396,3.4700262062156856e-05,-1.172151814910593e-05,0.00021622176795167553,3.1938564566779995e-05,3.747541754804695e-05,-0.0005333618550574152,-1.9555638882032797e-06,1.0826115739654632e-05,1.2312352973956916e-06,0.0,0.0,0.0,3.422210840130342e-07,0.00963399503296642,0.0,0.0,-1.2809238436307993e-06,0.0,-3.804057899569272e-05,0.0,0.0,9.858129957016399e-05,2.56897254626595e-05,-0.000592378926349927,3.783116775275242e-05,-3.3963431907038274e-06,-7.502003590586047e-06,5.12862748760728e-05,0.0,-1.036983381990126e-06,0.0,0.0037835398483407052,-1.728664882656882e-05,3.018881288864845e-05,0.0053476133893420215,-1.4777683487420965e-05,2.9567329542263557e-05,-3.720904211764939e-05,-0.0003876208258905405,0.0,0.0,6.071884228635851e-06,3.164685452885925e-06,0.0,0.010308299890424727,-4.199505461840301e-05,-5.521359919014683e-05,-4.326809669001259e-06,-1.6963948629908284e-06,0.0001380997372649556,0.0,0.0,-3.6851124153798497e-06,-1.1566863044132281e-06,-0.0027107120125901517,0.0,0.000100713971749026,-7.786221100488562e-07,0.0,0.0,0.0,1.957574717311479e-05,-0.00033030613527456807,0.0,0.0,0.0005719456946014694,-2.0335024685362045e-05,-1.1775915059287232e-05,0.0,0.0,-1.210556401714156e-05,0.0,-5.536562430267622e-07,0.0,-1.1465108852186712e-06,0.0007432968549046511,-6.394738323803745e-06,0.0024227389533760637,0.0,1.2698404741826267e-05,0.0,0.0027850533626265707,0.0,-1.175822177109372e-05,-3.7708462588645693e-06,0.0,0.0,0.0,0.001632900555754027,-1.966174670369237e-05,-0.0012806558950158996,0.0,0.0,-5.918217136604818e-07,0.0,0.0,0.00044758269078536925,0.0,0.0,0.0,8.244424742314253e-06,-1.2583751852095462e-05,1.2053644097564231e-05,-8.584605969177835e-06,5.960271622420048e-05,0.0,-0.0002577079184202632,-0.00019266062963663936,1.9014289437316594e-05,0.0,1.19084630174845e-05,0.0042236331909660686,0.0,0.0,0.0,-0.0004078290268045453,-0.0001043715226542453,0.0,-2.8189524346031536e-06,0.0,0.0044362005708604366,0.00034992111261858167,0.0,0.0,-1.8531410169682978e-06,1.804135355489259e-05,0.0,-1.2213837165340458e-05,0.0,-5.45567270547226e-06,-1.0992475729158059e-05,-9.624856755685254e-05,-0.00025360383571840163,-0.001092759378458826,-5.409854069921381e-07,-1.2505583883679964e-05,-2.0670076223471164e-06,0.0,0.0,-0.00019888061593124575,-1.858722426615681e-06,-0.00038716546935601545,0.0,0.0002829822750105691,0.0,0.0,-2.1010360161678713e-05,-2.3021858964212827e-06,8.713791700594179e-05,-8.392590078930723e-05,0.00021916094323536092,0.0,3.6809439784803823e-06,0.0,0.0,-1.0194270413791521e-06,2.9339884895696057e-05,-6.136127120795648e-06,0.0,0.0,4.2910873688321527e-05,-0.00040109269495905366,0.0008056813670238661,0.0,0.0,-3.7586094288801424e-06,2.8824230528905044e-05,0.0005845976344969091,-5.136338851333098e-05,0.005915319681355573,0.0001831597708368389,-2.4183450319183474e-06,0.0,0.0,0.00035765919274824214,-0.0033501478264581245,1.6368778927631037e-05,-0.0003097311480624373,0.0,0.0,6.857766114146984e-05,0.0,0.0,0.00010360319249486639,-6.894217798085823e-06,-0.0045630269578512,2.7284928552130302e-05,6.413023277612258e-06,-9.084728293303213e-07,6.660986479083367e-07,-1.587351773479779e-05,-4.995578619985059e-06,0.0,2.467521131710657e-06,-1.2987893127034176e-06,4.363503873657367e-05,-8.963900367250827e-06,0.0,0.0009703769408521531,8.632975824420857e-07,0.00027830754332054393,5.432760736403925e-05,-4.1306137682506056e-05,-1.5278402788806314e-06,-1.6963948629908284e-06,-1.716148382597542e-05,-2.397345997173091e-05,3.816087545938667e-05,0.0,0.0,-2.7327163717431e-05,0.0,-9.967840608196227e-06,-8.050537579936916e-07,-2.6425864646916845e-06,0.0,0.0,1.91812663736061e-05,-0.0011826972092618695,0.0,-3.5074830226712676e-06,0.0,-5.176287866029748e-05,-1.0994923145767516e-05,0.0,-0.0007199738681284972,5.4840902983917975e-06,-1.3465806201640397e-05,0.0,0.0,-3.007181399799444e-06,-0.0036675887580137545,-8.480142270575947e-06,0.0,-0.0010766382976274127,1.314122766580388e-05,0.0,-8.01692833674886e-06,-0.0028536257420764106,6.401997137625596e-06,-0.0012562429455555018,-4.6169934017245596e-07,0.0,-1.684927550976003e-05,0.0,0.0,-1.139389163916517e-06,-7.550628385076594e-06,-7.878534694767417e-06,0.0,0.0,-5.596159144439907e-06,-0.00045970693012708396,5.917437896398434e-05,-0.0007445901516960399,7.783971764860209e-06,8.160869184476048e-06,-5.596117228810896e-07,1.684533336086106e-06,-2.2532863403934747e-05
B-cells,0.0013392897795186471,-8.399097577734594e-05,-3.6841529176160575e-05,2.504199197012008e-05,0.0,0.0,-2.0595539098196756e-05,0.0,-1.065620112978933e-05,-0.00034142674662965256,-0.0007313734808769227,-2.1745545100722268e-06,-1.0408969660571947e-05,0.0,0.0,0.0,0.0,-0.001388650159761755,0.0,0.0,0.0,0.0,-1.744015169239625e-05,0.0,0.0,0.0,1.5226884336983432e-07,0.0012815373080801826,0.0,0.0,0.0,-3.0266107855165482e-06,0.0,-1.284688730585778e-05,0.0,-0.0005708451002172669,-5.657009059755818e-06,-1.3275488008917889e-05,-0.0001993676135215779,-6.5873517546942485e-06,-6.162239787595739e-05,-0.0002303632356271213,-2.9759549479318275e-05,-1.363634486202696e-06,0.0,-2.5276941600368236e-05,-2.5151156990763292e-05,0.0,-0.0013405152250393288,0.0,-2.7345595270350644e-05,-1.6001127823757155e-05,-0.0006566452079336759,-3.1830521023997942e-06,0.0,-3.3308171536938333e-06,0.0,3.808132325674074e-06,-0.0019949705504598222,0.0,-4.5336657667010096e-06,0.0,1.6040100250626552e-05,0.0,-0.00040594808589831136,-1.0509899897439229e-05,-0.00023391383233827072,0.0,0.0,-0.001035143705964353,-7.254881495762581e-05,-1.927516606992165e-05,0.0,0.0,-7.425102402333371e-05,6.364932382969009e-05,0.0,0.0,0.0,0.0,-4.176687331686015e-06,-2.12896413393604e-05,0.0,-9.87599041813383e-06,0.0,-3.023494777905507e-06,0.0,0.0,-1.837381843559089e-05,0.0,0.0,0.0,3.0092157482251275e-05,-3.08437307957747e-05,0.0007295575008156389,0.0,0.0,-0.0003019209002598775,0.0,0.0,-0.00037603267363805836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984777492511099e-05,0.0,-0.00015228846388038844,-0.00025534245622959586,0.0,0.0,0.0,0.0001831299739473011,0.0,0.0,0.0,-0.00020472272656039047,-1.944442777022583e-05,-5.716839571178507e-05,0.0,0.0,-0.0005671059127949757,-0.00048440530821848256,0.0,0.0,0.0,4.4457781263387295e-05,0.0,0.0,0.0,0.0,0.0,-3.818919574602105e-06,-8.256888332032624e-06,0.001492947294898784,-1.4065620581795596e-06,0.0,-3.7157925177592465e-05,-1.561171434321637e-05,0.0,-5.888118471531171e-06,0.0,-4.9971688738270185e-05,0.0,-2.3811853797533415e-05,0.0,0.0,0.0,0.0,0.00019138475163216247,0.0,-0.0003515033267925268,0.0,1.3985728749191935e-05,0.0,0.0,0.0,-0.00013401063320624145,1.4006174042046592e-05,0.0,0.0,-2.5448099655294468e-05,-7.981530841143035e-05,7.439098635888633e-05,0.0,0.0,1.4365742839066451e-06,0.0,-0.00040086190495434125,-0.0004793450705412869,-3.5323111552787644e-05,-8.50613063388469e-06,0.0,0.0,-4.034688482018942e-05,1.5746885598030952e-05,-0.0024197360974943494,-0.0002362463010300515,-6.977225957869555e-06,0.0,0.0,0.0,0.0,0.0,-2.3493455160131905e-05,-3.6060418493774496e-05,-0.002597761443662292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31395519638572e-05,-8.442130532572216e-07,0.0,-2.4164115235771803e-05,0.0,-5.0680343662287256e-05,0.0,0.0,0.0,0.0002528149989437851,0.0,0.0,0.0,-2.7074627834694482e-06,-1.353627119886142e-05,9.470274369418382e-06,0.0,0.0,0.0,0.0,0.0,-3.1174915809167676e-06,0.0,0.0,0.0,0.00023426797716710862,0.0,0.0,-2.387865232926183e-05,-4.4443674551995554e-05,-1.0030391287042012e-06,0.0,-0.0005641060210141078,0.0,-2.275245329098526e-06,0.0,0.0,0.0,-0.005649156713290123,-2.4098708739133134e-06,0.0,-0.0008409055920373078,-4.700071393650891e-06,0.0,-5.033232608487e-06,-0.001093773836640567,0.0,-0.0008071395528638918,0.0,0.0,-3.179364146982863e-06,0.0,0.0,-2.5258159898129708e-05,-1.1013154044244755e-05,-3.179364146982863e-06,0.0,0.0,-5.515997499237475e-07,-9.329885600191487e-05,1.2214231093929076e-06,-0.0004246939944451508,0.0,-4.357809109187494e-06,0.0,0.0,-3.107564432249733e-06
Adipose tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
