Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014944PAP_Slot1-12_1_3201.d	TU014945PAP_Slot1-11_1_3202.d	TU014946PAP_Slot1-10_1_3203.d	TU014947PAP_Slot1-09_1_3204.d	TU014948PAP_Slot1-08_1_3205.d	TU014949PAP_Slot1-07_1_3206.d	TU014950PAP_Slot1-06_1_3207.d	TU014951PAP_Slot1-05_1_3208.d	TU014952PAP_Slot1-04_1_3209.d	TU014953PAP_Slot1-03_1_3210.d	TU014954PAP_Slot1-02_1_3211.d	TU014956PAP_Slot1-24_1_3213.d	TU014957PAP_Slot1-23_1_3214.d	TU014958PAP_Slot1-22_1_3215.d	TU014959PAP_Slot1-21_1_3216.d	TU014960PAP_Slot1-20_1_3217.d	TU014961PAP_Slot1-19_1_3218.d	TU014962PAP_Slot1-18_1_3219.d	TU014963PAP_Slot1-17_1_3220.d	TU014964PAP_Slot1-16_1_3221.d	TU014965PAP_Slot1-15_1_3222.d	TU014966PAP_Slot1-14_1_3223.d	TU014967PAP_Slot1-13_1_3224.d	TU014968PAP_Slot1-36_1_3225.d	TU014969PAP_Slot1-35_1_3226.d	TU014973PAP_Slot1-31_1_3227.d	TU014974PAP_Slot1-30_1_3228.d	TU014975PAP_Slot1-29_1_3229.d	TU014976PAP_Slot1-28_1_3230.d	TU014977PAP_Slot1-27_1_3231.d	TU014978PAP_Slot1-26_1_3232.d	TU014979PAP_Slot1-25_1_3233.d	TU014980PAP_Slot1-34_1_3234.d	TU014981PAP_Slot1-33_1_3235.d	TU014982PAP_Slot1-32_1_3236.d
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49						9133.12													17548.9	21494.8															
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2671.45	1679.12	2214.58	2118.49		1696.65			2352.22	2071.76		1852.77	1899.06	1480.63	2131.25	1182.6	2326.31	1362.65	3324.62	2578.04	2254.28	1940.08	2091.71	1582.5	1373.69	1835.71	1627.53	1673.46	1432.66	1627.66	1506.83	1325.15	1632.28	1691.01	1834.92
A0A0C4DH55;P01624	A0A0C4DH55;P01624	KV315_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3D-7	Immunoglobulin kappa variable 3D-7	9657.04	3056.41	9900.78	4759.1	11320.6	6629.46	17264.9	13097.1	9604.93	12897.6	10976.2	3737.61	1840.59		6602.3	6916.68		6976.57	10966	8180.43		26547.2	6082.15	3546.34		5304.81	10329.3	10951.9			3127.93		4474.57	2183.15	4961.71
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56		1013.7										2392.6	1928.57	1787.91	1853.61		979.528	1202.7	1442.89	1950.44				1188.29	2042.39	2284.93	2225.84	2334.77	2003.47	1471.91	2357.52	2006.16	2042.26	2266.09	1723.36
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6		4638.07								3607.26		2621.23	2304.46	2349.51							5321.75	3695.92		1884.54	2576	2107.51	3530.51	2049.66	1761.17		2280.06	1808.22	2478.02	2254.88	2917.59
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	5040.01		3872.15		3173.72	3445.41	3062.58	2434.56	3740.76	2401.1	4330.19	2228.87	1477.12	1762.29	2238.41	4207.62	2899.73	3461.17	4992.73	4513.41	3815.62	4383.38	4052.38	1705.57	2147.53	1694.12	1983.22	2463.71	1311.1	1989.13	1660.17	1278.7	2410.92	1459.53	5385.18
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B		2058.16	1810.08	2094.22				2426.15		2642.61		3714.43	3981.18	3655.48	3604.74	3098.76	602.939		2691.63	2269.63	2205.51	1770.54	2574.14	4343.09	4514.99	3201.96	3781.7	3438.23	4780.57	5132.13	3483.7	3839.74	4027.25	4152.18	4801.68
A2RRD8;A6NHJ4;P0CJ79;P17035;Q05481;Q0VGE8;Q5VIY5;Q7L2R6;Q86XN6;Q8N4W9;Q8NB50;Q96IR2;Q9NV72	A2RRD8;A6NHJ4;P0CJ79;P17035;Q05481;Q0VGE8;Q5VIY5;Q6ZN06;Q7L2R6;Q86XN6;Q8N4W9;Q8N782;Q8NB50;Q8NCK3;Q96IR2;Q96N58;Q96NL3;Q9H963;Q9NV72;Q9P0L1;Q9UJW7;Q9Y5A6	ZFP62_HUMAN;ZN320_HUMAN;ZN468_HUMAN;ZN701_HUMAN;ZN761_HUMAN;ZN765_HUMAN;ZN808_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN860_HUMAN;ZN888_HUMAN;ZNF28_HUMAN;ZNF91_HUMAN	ZFP62;ZNF28;ZNF320;ZNF468;ZNF701;ZNF761;ZNF765;ZNF808;ZNF816;ZNF845;ZNF860;ZNF888;ZNF91	Zinc finger protein 320		396.445										2010.41	1076.04	1416.24	1700.28									1330.78	1218.84	1332.89	1506.72	1126.21	1395.82	1979.65	1590.82	997.419		648.458	880.803
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1						2437.25						3809.77	3797.57	3932.98	4002.88	1914.5	2631.59	2757.02		1498.09				4141.48	3878.02	4023.32	4757.28	4193.29	4245.58	3754.25	4019.86	4140	4586.35	4079.65	3666.43
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	7204.88	5078.99	4479.01	4245.04	5144.69	3461.69	3891.31	3807.66	4363.44	5271.54	4850.08	7491.96	7188.61	7375.63	7681.08	8130.45	7997.94	6306.81	7564.35	6544.26	6530.9	7082.32	5893.63	7325.07	7386.81	7509.77	7412.37	8294.68	7651.74	7216.9	7636.3	8159.44	7583.86	7811.36	6850.76
