Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014892CK_Slot1-01_1_3148.d	TU014893CK_Slot1-02_1_3149.d	TU014894CK_Slot1-03_1_3150.d	TU014895CK_Slot1-04_1_3151.d	TU014896CK_Slot1-05_1_3152.d	TU014897CK_Slot1-06_1_3153.d	TU014898CK_Slot1-07_1_3154.d	TU014899CK_Slot1-08_1_3155.d	TU014900CK_Slot1-09_1_3156.d	TU014901CK_Slot1-10_1_3157.d	TU014902CK_Slot1-11_1_3158.d	TU014903CK_Slot1-12_1_3159.d	TU014905CK_Slot1-25_1_3161.d	TU014906CK_Slot1-26_1_3162.d	TU014907CK_Slot1-27_1_3163.d	TU014908CK_Slot1-28_1_3164.d	TU014910CK_Slot1-30_1_3166.d	TU014911CK_Slot1-31_1_3167.d	TU014912CK_Slot1-32_1_3168.d	TU014913CK_Slot1-33_1_3169.d	TU014914CK_Slot1-34_1_3170.d	TU014915CK_Slot1-35_1_3171.d	TU014916CK_Slot1-36_1_3172.d	TU014919CK_Slot1-14_1_3177.d	TU014920CK_Slot1-15_1_3178.d	TU014921CK_Slot1-16_1_3179.d	TU014922CK_Slot1-17_1_3180.d	TU014923CK_Slot1-18_1_3181.d	TU014924CK_Slot1-19_1_3182.d	TU014925CK_Slot1-20_1_3183.d	TU014926CK_Slot1-21_1_3184.d	TU014927CK_Slot1-22_1_3185.d	TU014928CK_Slot1-23_1_3186.d	TU014931CK_Slot1-37_1_3189.d	TU014932CK_Slot1-38_1_3190.d	TU014933CK_Slot1-39_1_3191.d	TU014934CK_Slot1-40_1_3192.d	TU014935CK_Slot1-41_1_3193.d	TU014936CK_Slot1-42_1_3194.d	TU014938CK_Slot1-44_1_3196.d	TU014939CK_Slot1-45_1_3197.d	TU014940CK_Slot1-46_1_3198.d	TU014941CK_Slot1-47_1_3199.d	TU014942CK_Slot1-48_1_3200.d
A0A024RBG1;Q9NZJ9	A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	425.756	625.266	235.083	571.444	474.503	524.026	864.293	489.449	355.742	614.634			433.325	465.438				444.776	1109.41		413.809	699.322	454.534																					
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	585.668	821.798	337.089	801.277		1285.17	623.87	711.268	1115.89			913.186	814.154	883.029			1084.4	577.288	589.847	844.839	581.796	1201.78	726.821	1202.96	1552.42	1774.52	1645.11	1345.75	1722.25	1276.22	1594	1657.44	1498.05	1634.02	1916.57	1354.83	1589.8	1345.83	1603.6	1551.58		1342.29	1490.89	1375.83
A0A0C4DH55;P01624	A0A0C4DH55;P01624	KV315_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3D-7	Immunoglobulin kappa variable 3D-7																												2806.73																
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	662.945	377.275	552.182	169.213	498.381	395.692	359.187	587.203	436.923					554.837				310.358	570.358	506.909	1467.54	638.122	609.254	1557.91	1607.41	1824.28	1564.2	1803.18	1698.78		1378.6	1179.93	1681.95	1077.31	1463.14	1192.82	1175.3	1283.71		1501.44		1295.16		
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	759.663	947.097	816.654	1010.98	1112.72	630.228	630.804	817.366	798.19	904.913			662.881	885.306	1047.14		733.607		547.455	1178.37		710.113	605.191																					
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	2605.89	2790.86	3162.31	2236.03	1974.56	3020.48	2541	2906.14	2548.39	2594.88	3791.83	3094.99	3551.06	2717.9	2512.31	1959.54	2450.91	2293.5	2512.73	2455.11	2646.38	2592.01	2289.95	4590.88	5400.22	4362.95	4462.22	4922.09	3702.41	3670.25	4200.95	4224.64	4686.79	3981.83	4177.76	5569.2	3980.68	4996.96	4770.45	5554.99	2870.36	5201.02	4363.33	6792.84
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	389.82	628.289	546.317	187.845		236.284	592.144	290.556	1013.25	727.751			692.391	1080.28	1008.74		303.947	606.912	333.252	668.067		466.28			1252.89	902.684		1178.68	1165.5	1474.83	1272.71	1474.59	1427.15	1186.85	1374.1		1129.08	1469.98	1657.66	1102.68		1332.1	1125.33	1232.89
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	4621.96	3589.87	4576.71	3839.9	4315.26	4486.23	4350.68	4181.2	3818.38	3681.97	2895.42	5119.98	4564.04	3994.92	5379.27	4457.83	3684.02	3417.85	4001.13	3559.01	4166.33	3672.21	3885.18	5556.47	5328.53	5266.87	5050.38	5211.95	5206.32	4784.05	4538.23	5151.28	5502.06	5067.64	4330.21	3681.83	4968.31	4833.4	5033.71	4734.68	4486.46	5041.78	7120.17	5140.62
A2RTX5	A2RTX5	SYTC2_HUMAN	TARSL2	Threonine--tRNA ligase 2, cytoplasmic	404.659			269.75	616.08			191.034				305.6					382.709			243.331															469.109									
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2948.13	3555.31	3034.29	3024.51	3073.58	2946.31	2602.78	2958.23	3015.8	3760.54	5107.63	3447.74	2913.72	2645.77	2856.17	3051.84	3175.8	3112.67	2913.79	3033.31	3138.97	3161.31	2885.12	4655.74	3718.66	4637.12	4345.86	4439.14	4382.86	4394.08	3851.86	4352.29	4438.67	4667.41	5057.28	3873.38	4623.15	4042.96	4335.41	4277.16	3144.88	4324.63	4063.01	4598.19
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	645.331	680.386	962.58	835.964	975.654	781.632	504.112	941.847	541.716	1295.42		269.3	740.927	1065.85	2499.12	938.119	682.607	840.371	908.48	756.759	1122.3	1292.98	449.053	1239.44	1198.42	1029	1356.44	1160.04	1295.53	1267.59	1213.78	1099.21	1219.98	1405.99	1160.25	1765.28	1515.55	1247.57	1520.4	1433.7	1290.81	1478.56	1993.35	1317.39
