Protein.Group	Protein.Names	Genes	First.Protein.Description	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
A0A075B6H7;A0A0C4DH55;P01624;A0A0C4DH90	A0A0C4DH90_HUMAN;KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7;IGKV3OR2-268	Probable non-functional immunoglobulin kappa variable 3-7	5382.68	29000.6	31922	27439.6	34068.1	17738.4
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310	KV228_HUMAN;KV229_HUMAN;KV230_HUMAN;KV240_HUMAN;KVD26_HUMAN;KVD28_HUMAN;KVD29_HUMAN;KVD30_HUMAN;KVD40_HUMAN	IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40	Immunoglobulin kappa variable 2-28	12716	17292.1	27840.8	21480	29139.3	13135.6
A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	4040.93		6952.73		8653.16	
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	9051.57	16071.4	28646.3	32926.2	25226.9	10480.2
A0A0B4J1V1;P01762;P01763;P01780	HV307_HUMAN;HV311_HUMAN;HV321_HUMAN;HV348_HUMAN	IGHV3-11;IGHV3-21;IGHV3-48;IGHV3-7	Immunoglobulin heavy variable 3-21	9998.91	9085.22	17326.3	5644.52	17664	
A0A0B4J2B5;A0AAG2SVT6	A0A0B4J2B5_HUMAN;A0AAG2SVT6_HUMAN	IGHV3OR16-9	Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment)		8336.5	7450.79	7289.98	3303.67	4479.03
A0A0B4J2B5;A0AAG2SVT6;A0A0B4J1V1;P01762;P01763;P01780	A0A0B4J2B5_HUMAN;A0AAG2SVT6_HUMAN;HV307_HUMAN;HV311_HUMAN;HV321_HUMAN;HV348_HUMAN	IGHV3-11;IGHV3-21;IGHV3-48;IGHV3-7;IGHV3OR16-9	Immunoglobulin heavy variable 3-21	1863.1	5736.4	2817.83	6061.47	6372.28	5983.31
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	2231.59	5257.66	7664.74	8062.87	5915.84	
A0A0C4DH25;P01619	KV320_HUMAN;KVD20_HUMAN	IGKV3-20;IGKV3D-20	Immunoglobulin kappa variable 3D-20	2383.49	4698.99	18930.1	12443.2	16792.7	6294.11
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	Immunoglobulin heavy variable 4-61	2947.77	5738.98	10410.7	7719.57	12714.3	
