Intensity Lyop_1	Intensity Lyop_2	Intensity Lyop_3	Intensity Lyop_4	C: Only identified by site	C: Reverse	C: Potential contaminant	C: GOBP slim name	C: GOCC slim name	C: KEGG name	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs
24,2713	NaN	NaN	NaN			+				9	7	2	20,6	16,9	6,6	53,5	0	87,787	20248000	7	sp|O43790|KRT86_HUMAN;CON__O43790;sp|Q14533|KRT81_HUMAN;CON__Q14533;sp|Q9NSB4|KRT82_HUMAN;CON__Q9NSB4	sp|O43790|KRT86_HUMAN;CON__O43790;sp|Q14533|KRT81_HUMAN;CON__Q14533
23,5608	NaN	NaN	NaN			+				6	5	4	13,5	12	10,5	52,247	0	44,34	12374000	5	sp|O76013|KRT36_HUMAN;CON__O76013;CON__A2AB72;sp|O76015|KRT38_HUMAN;CON__O76015;CON__A2VCT4	sp|O76013|KRT36_HUMAN;CON__O76013
32,2637	32,4781	32,5032	32,3472			+				8	8	8	54,5	54,5	54,5	24,409	0	280,94	22690000000	97	CON__P00761	CON__P00761
26,6488	27,9057	26,3296	27,5407			+				26	13	4	57,6	34,1	15,3	51,561	0	323,31	636260000	49	sp|P02533|K1C14_HUMAN;CON__P02533;CON__A2A4G1;CON__P19001;CON__Q61782;sp|P35900|K1C20_HUMAN;CON__P35900;sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0;CON__P05784;sp|P05783|K1C18_HUMAN;sp|Q7Z3Y9|K1C26_HUMAN;CON__Q7Z3Y9	sp|P02533|K1C14_HUMAN;CON__P02533
20,414	22,688	20,3743	23,696			+				13	2	2	19,3	4,2	4,2	57,769	0	34,085	23104000	10	CON__P02535-1;sp|Q2M2I5|K1C24_HUMAN;CON__Q2M2I5	CON__P02535-1
22,4475	24,9214	22,2023	25,2201			+				35	1	1	52,5	1,8	1,8	60,044	0	6,7906	81407000	2	CON__P02538;sp|P02538|K2C6A_HUMAN;CON__Q8VED5	CON__P02538;sp|P02538|K2C6A_HUMAN
24,2595	24,3731	26,5928	23,0782			+				11	11	7	16,9	16,9	12,2	69,366	0	68,142	151880000	26	sp|P02768|ALBU_HUMAN;CON__P02768-1	sp|P02768|ALBU_HUMAN;CON__P02768-1
23,3903	23,7807	23,8032	23,6305			+				9	5	5	15,7	10,9	10,9	69,293	0	53,903	53029000	16	CON__P02769	CON__P02769
26,6925	27,824	24,8571	27,4769			+				35	19	0	52,5	34,4	0	59,998	0	312,73	563240000	64	CON__P04259	CON__P04259
NaN	NaN	20,0714	NaN			+				10	2	2	13,9	5	5	53,704	0	22,275	1101800	4	sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;CON__Q9DCV7;CON__Q9H552;sp|P41219|PERI_HUMAN;sp|P17661|DESM_HUMAN	sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931
NaN	NaN	20,5823	NaN			+				8	1	1	17,2	3,2	3,2	44,105	0,0072464	5,9988	1570000	1	sp|P08727|K1C19_HUMAN;CON__P08727	sp|P08727|K1C19_HUMAN;CON__P08727
27,1888	28,4108	26,514	28,7696			+				26	23	13	54,1	48,8	31,1	51,267	0	323,31	1063300000	70	sp|P08779|K1C16_HUMAN;CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	sp|P08779|K1C16_HUMAN;CON__P08779
30,8354	31,8555	30,0144	31,8792			+				37	37	25	63,7	63,7	50,7	58,826	0	323,31	10836000000	206	sp|P13645|K1C10_HUMAN;CON__P13645;sp|Q7Z3Y7|K1C28_HUMAN;CON__Q7Z3Y7;CON__Q148H6;sp|Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0	sp|P13645|K1C10_HUMAN;CON__P13645
NaN	NaN	24,8716	26,5452			+				18	13	2	38,4	30,8	3,5	49,586	0	173,69	128630000	21	CON__P13646-1	CON__P13646-1
27,33	28,5455	27,398	28,5274			+				36	26	7	52,9	44,2	12,4	62,378	0	323,31	1124300000	82	sp|P13647|K2C5_HUMAN;CON__P13647	sp|P13647|K2C5_HUMAN;CON__P13647
25,293	24,3525	26,9927	NaN			+				3	3	3	5,8	5,8	5,8	68,124	0	28,934	196070000	85	CON__P15636	CON__P15636
19,6942	21,5513	25,0697	26,4878			+				19	17	12	39,6	36,5	28,1	56,143	0	323,31	133240000	37	sp|P19013|K2C4_HUMAN;CON__P19013	sp|P19013|K2C4_HUMAN;CON__P19013
17,8743	NaN	NaN	16,9769			+				1	1	1	1,6	1,6	1,6	435,16	0	6,977	369270	1	sp|P20930|FILA_HUMAN;CON__P20930	sp|P20930|FILA_HUMAN;CON__P20930
22,2699	21,8975	21,9289	21,7092			+				1	1	1	4,1	4,1	4,1	46,103	0	6,0979	16385000	4	CON__P34955	CON__P34955
29,3936	30,3533	28,8105	31,1763			+				49	46	32	75,6	73,7	60,3	65,432	0	323,31	4974400000	177	sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;sp|P12036|NFH_HUMAN;CON__REFSEQ:XP_932229	sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908
22,6333	24,3425	21,963	25,5509			+				35	2	0	52,5	4,6	0	60,024	0	23,548	81025000	4	sp|P48668|K2C6C_HUMAN;CON__P48668	sp|P48668|K2C6C_HUMAN;CON__P48668
20,5161	NaN	NaN	NaN			+				8	1	0	15,6	1,8	0	54,195	0	6,099	1499600	1	sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|A6NCN2|KR87P_HUMAN	sp|P78385|KRT83_HUMAN;CON__Q6NT21;CON__P78385;sp|A6NCN2|KR87P_HUMAN
22,2455	NaN	NaN	NaN			+				7	2	1	14,6	5,7	3,9	55,802	0	36,81	4972300	2	sp|P78386|KRT85_HUMAN;CON__P78386	sp|P78386|KRT85_HUMAN;CON__P78386
21,2987	23,5407	20,4532	22,7536			+				17	7	4	44,4	25,9	15	48,105	0	132,84	23290000	16	sp|Q04695|K1C17_HUMAN;CON__Q04695	sp|Q04695|K1C17_HUMAN;CON__Q04695
23,5967	NaN	NaN	NaN			+				11	5	2	33,4	16,8	8,4	46,213	0	43,063	12686000	5	sp|Q14525|KT33B_HUMAN;CON__Q14525;CON__Q497I4;CON__Q92764;sp|Q92764|KRT35_HUMAN	sp|Q14525|KT33B_HUMAN;CON__Q14525
25,5695	NaN	NaN	NaN			+				11	10	3	31	29,3	8,2	47,237	0	111,95	49796000	12	sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323;sp|Q14532|K1H2_HUMAN;CON__Q14532	sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323
22,946	24,4406	22,4046	22,3862			+				9	1	0	11,5	2,2	0	58,923	0	26,676	41883000	7	sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7;sp|Q3SY84|K2C71_HUMAN;CON__Q3SY84	sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7;sp|Q3SY84|K2C71_HUMAN;CON__Q3SY84
21,7083	22,8351	21,3699	22,079			+				4	4	4	2,7	2,7	2,7	248,07	0	157,92	18050000	14	sp|Q5D862|FILA2_HUMAN;CON__Q5D862	sp|Q5D862|FILA2_HUMAN;CON__Q5D862
20,2555	21,0337	19,8484	21,3118			+				3	3	3	7,7	7,7	7,7	50,525	0	42,743	6945500	5	sp|Q6KB66|K2C80_HUMAN;CON__Q6KB66-1	sp|Q6KB66|K2C80_HUMAN;CON__Q6KB66-1
21,2289	23,5323	21,0007	22,9531			+				12	9	9	21,7	18,8	18,8	56,865	0	92,361	24808000	16	sp|Q8N1N4|K2C78_HUMAN;CON__Q8N1N4-2;CON__Q7RTT2	sp|Q8N1N4|K2C78_HUMAN;CON__Q8N1N4-2;CON__Q7RTT2
22,3596	23,3944	22,3709	23,3485			+				10	6	4	16,3	11,2	7,1	61,901	0	38,794	32513000	14	sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794	sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794
23,1921	22,6138	19,9034	22,6163			+				5	5	5	5,4	5,4	5,4	282,39	0	106,97	23412000	14	sp|Q86YZ3|HORN_HUMAN;CON__Q86YZ3	sp|Q86YZ3|HORN_HUMAN;CON__Q86YZ3
23,0531	NaN	NaN	19,2911			+				10	6	4	25	15,1	11,2	49,411	0	55,408	9344400	4	CON__Q8IUT8;sp|O76011|KRT34_HUMAN;CON__O76011	CON__Q8IUT8;sp|O76011|KRT34_HUMAN;CON__O76011
