Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
QC|RT_Peptide|JPT_Retention_Time_Peptide	QC|RT_Peptide|JPT_Retention_Time_Peptide	QC|RT_Peptide|JPT_Retention_Time_Peptide		456		QC|RT_Peptide|JPT_Retention_Time_Peptide		72.37	1.0000	0.9990	31	31	31	65	65	65	5.6556216E9	5.6556216E9	5.6556216E9			
rev_sp|A0JNW5|BLT3B_HUMAN	rev_A0JNW5	rev_BLT3B_HUMAN	rev_BLTP3B	1464	Homo sapiens	Bridge-like lipid transfer protein family member 3B	1:Experimental evidence at protein level	1.84	1.0000	0.9402	1	1	1	1	1	1	0	0	0	21M(15.9949), 4C(57.0214)		
rev_sp|A4D0S4|LAMB4_HUMAN	rev_A4D0S4	rev_LAMB4_HUMAN	rev_LAMB4	1761	Homo sapiens	Laminin subunit beta-4	2:Experimental evidence at transcript level	0.68	1.0000	0.9871	1	1	1	1	1	1	0	0	0	10C(57.0214)		
rev_sp|A5YKK6|CNOT1_HUMAN	rev_A5YKK6	rev_CNOT1_HUMAN	rev_CNOT1	2376	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	0.38	1.0000	0.9937	1	1	1	1	1	1	0	0	0			
rev_sp|A6H8Y1|BDP1_HUMAN	rev_A6H8Y1	rev_BDP1_HUMAN	rev_BDP1	2624	Homo sapiens	Transcription factor TFIIIB component B'' homolog	1:Experimental evidence at protein level	0.46	1.0000	0.9913	1	1	1	2	2	2	4.03247264E8	4.03247264E8	4.03247264E8			
rev_sp|A6NMZ7|CO6A6_HUMAN	rev_A6NMZ7	rev_CO6A6_HUMAN	rev_COL6A6	2263	Homo sapiens	Collagen alpha-6(VI) chain	1:Experimental evidence at protein level	0.49	1.0000	0.9707	1	1	1	1	1	1	5556193.5	5556193.5	5556193.5			
rev_sp|A7E2Y1|MYH7B_HUMAN	rev_A7E2Y1	rev_MYH7B_HUMAN	rev_MYH7B	1983	Homo sapiens	Myosin-7B	1:Experimental evidence at protein level	0.40	1.0000	0.9896	1	0	0	6	0	0	9.3028992E8	0	0			
rev_sp|D6RIA3|CD054_HUMAN	rev_D6RIA3	rev_CD054_HUMAN	rev_C4orf54	1793	Homo sapiens	Uncharacterized protein C4orf54	2:Experimental evidence at transcript level	0.56	1.0000	0.9977	1	1	1	2	2	2	1.2317227E7	1.2317227E7	1.2317227E7			
rev_sp|O14841|OPLA_HUMAN	rev_O14841	rev_OPLA_HUMAN	rev_OPLAH	1288	Homo sapiens	5-oxoprolinase	1:Experimental evidence at protein level	0.54	1.0000	0.9876	1	1	1	1	1	1	2.9162304E8	2.9162304E8	2.9162304E8			
rev_sp|O15031|PLXB2_HUMAN	rev_O15031	rev_PLXB2_HUMAN	rev_PLXNB2	1838	Homo sapiens	Plexin-B2	1:Experimental evidence at protein level	0.54	1.0000	0.9813	1	1	1	1	1	1	3.0112452E7	3.0112452E7	3.0112452E7			
rev_sp|O15050|TRNK1_HUMAN	rev_O15050	rev_TRNK1_HUMAN	rev_TRANK1	2925	Homo sapiens	TPR and ankyrin repeat-containing protein 1	2:Experimental evidence at transcript level	0.34	1.0000	0.9652	1	1	1	2	2	2	0	0	0	5C(57.0214),5C(57.0214)		
rev_sp|O15056|SYNJ2_HUMAN	rev_O15056	rev_SYNJ2_HUMAN	rev_SYNJ2	1496	Homo sapiens	Synaptojanin-2	1:Experimental evidence at protein level	0.60	1.0000	0.9782	1	1	1	1	1	1	0	0	0			
rev_sp|O15078|CE290_HUMAN	rev_O15078	rev_CE290_HUMAN	rev_CEP290	2479	Homo sapiens	Centrosomal protein of 290 kDa	1:Experimental evidence at protein level	0.44	1.0000	0.9891	1	1	1	1	1	1	0	0	0			
rev_sp|O15083|ERC2_HUMAN	rev_O15083	rev_ERC2_HUMAN	rev_ERC2	957	Homo sapiens	ERC protein 2	1:Experimental evidence at protein level	1.57	1.0000	0.9847	1	1	1	1	1	1	0	0	0			
rev_sp|O60229|KALRN_HUMAN	rev_O60229	rev_KALRN_HUMAN	rev_KALRN	2986	Homo sapiens	Kalirin	1:Experimental evidence at protein level	0.37	1.0000	0.9902	1	1	1	1	1	1	0	0	0	5C(57.0214)		
rev_sp|O60271|JIP4_HUMAN	rev_O60271	rev_JIP4_HUMAN	rev_SPAG9	1321	Homo sapiens	C-Jun-amino-terminal kinase-interacting protein 4	1:Experimental evidence at protein level	0.83	1.0000	0.9784	1	1	1	1	1	1	0	0	0			
rev_sp|O60282|KIF5C_HUMAN	rev_O60282	rev_KIF5C_HUMAN	rev_KIF5C	957	Homo sapiens	Kinesin heavy chain isoform 5C	1:Experimental evidence at protein level	1.57	1.0000	0.9955	1	1	1	1	1	1	0	0	0	10C(57.0214)		
rev_sp|O60469|DSCAM_HUMAN	rev_O60469	rev_DSCAM_HUMAN	rev_DSCAM	2012	Homo sapiens	Cell adhesion molecule DSCAM	1:Experimental evidence at protein level	0.60	1.0000	0.9270	1	1	1	1	1	1	1.849889E7	1.849889E7	1.849889E7	5M(15.9949), 7M(15.9949)		
rev_sp|O60566|BUB1B_HUMAN	rev_O60566	rev_BUB1B_HUMAN	rev_BUB1B	1050	Homo sapiens	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	1:Experimental evidence at protein level	0.86	1.0000	0.9885	1	1	1	1	1	1	1.5969226E7	1.5969226E7	1.5969226E7			
rev_sp|O75439|MPPB_HUMAN	rev_O75439	rev_MPPB_HUMAN	rev_PMPCB	489	Homo sapiens	Mitochondrial-processing peptidase subunit beta	1:Experimental evidence at protein level	4.50	1.0000	0.9838	1	1	1	1	1	1	0	0	0			
rev_sp|O75592|MYCB2_HUMAN	rev_O75592	rev_MYCB2_HUMAN	rev_MYCBP2	4678	Homo sapiens	E3 ubiquitin-protein ligase MYCBP2	1:Experimental evidence at protein level	0.15	1.0000	0.9945	1	1	1	1	1	1	1.1803502E7	1.1803502E7	1.1803502E7			
rev_sp|O94911|ABCA8_HUMAN	rev_O94911	rev_ABCA8_HUMAN	rev_ABCA8	1621	Homo sapiens	ABC-type organic anion transporter ABCA8	1:Experimental evidence at protein level	0.62	1.0000	0.9846	1	1	1	2	2	2	3.9396824E7	3.9396824E7	3.9396824E7			
rev_sp|O94913|PCF11_HUMAN	rev_O94913	rev_PCF11_HUMAN	rev_PCF11	1555	Homo sapiens	Pre-mRNA cleavage complex 2 protein Pcf11	1:Experimental evidence at protein level	0.71	1.0000	0.9854	1	1	1	2	2	2	0	0	0			
rev_sp|O94915|FRYL_HUMAN	rev_O94915	rev_FRYL_HUMAN	rev_FRYL	3013	Homo sapiens	Protein furry homolog-like	1:Experimental evidence at protein level	0.23	1.0000	0.9745	1	1	1	1	1	1	0	0	0			
rev_sp|O95155|UBE4B_HUMAN	rev_O95155	rev_UBE4B_HUMAN	rev_UBE4B	1302	Homo sapiens	Ubiquitin conjugation factor E4 B	1:Experimental evidence at protein level	0.54	1.0000	0.9951	1	1	1	1	1	1	2.7099036E7	2.7099036E7	2.7099036E7			
rev_sp|O95714|HERC2_HUMAN	rev_O95714	rev_HERC2_HUMAN	rev_HERC2	4834	Homo sapiens	E3 ubiquitin-protein ligase HERC2	1:Experimental evidence at protein level	0.17	1.0000	0.9865	1	1	1	1	1	1	6.5155084E7	6.5155084E7	6.5155084E7			
rev_sp|P02452|CO1A1_HUMAN	rev_P02452	rev_CO1A1_HUMAN	rev_COL1A1	1464	Homo sapiens	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	1.23	1.0000	0.9921	1	1	1	1	1	1	0	0	0			
rev_sp|P07942|LAMB1_HUMAN	rev_P07942	rev_LAMB1_HUMAN	rev_LAMB1	1786	Homo sapiens	Laminin subunit beta-1	1:Experimental evidence at protein level	0.73	1.0000	0.9502	1	1	1	1	1	1	1.6175134E7	1.6175134E7	1.6175134E7			
rev_sp|P07947|YES_HUMAN	rev_P07947	rev_YES_HUMAN	rev_YES1	543	Homo sapiens	Tyrosine-protein kinase Yes	1:Experimental evidence at protein level	3.13	1.0000	0.9723	1	1	1	1	1	1	0	0	0	1M(15.9949)		
rev_sp|P08133|ANXA6_HUMAN	rev_P08133	rev_ANXA6_HUMAN	rev_ANXA6	673	Homo sapiens	Annexin A6	1:Experimental evidence at protein level	2.08	1.0000	0.9957	1	1	1	1	1	1	0	0	0	4M(15.9949)		
rev_sp|P11277|SPTB1_HUMAN	rev_P11277	rev_SPTB1_HUMAN	rev_SPTB	2137	Homo sapiens	Spectrin beta chain, erythrocytic	1:Experimental evidence at protein level	0.33	1.0000	0.9757	1	1	1	1	1	1	0	0	0			
rev_sp|P11532|DMD_HUMAN	rev_P11532	rev_DMD_HUMAN	rev_DMD	3685	Homo sapiens	Dystrophin	1:Experimental evidence at protein level	0.27	1.0000	0.9904	2	2	2	1	1	1	6.8786096E7	6.8786096E7	6.8786096E7	2M(15.9949)		
rev_sp|P12111|CO6A3_HUMAN	rev_P12111	rev_CO6A3_HUMAN	rev_COL6A3	3177	Homo sapiens	Collagen alpha-3(VI) chain	1:Experimental evidence at protein level	0.66	1.0000	0.9848	2	2	2	4	4	4	9103745.0	9103745.0	9103745.0	6M(15.9949),6M(15.9949)		
rev_sp|P12270|TPR_HUMAN	rev_P12270	rev_TPR_HUMAN	rev_TPR	2363	Homo sapiens	Nucleoprotein TPR	1:Experimental evidence at protein level	1.23	1.0000	0.9965	2	2	2	4	4	4	2.21206224E8	2.21206224E8	2.21206224E8			
rev_sp|P14136|GFAP_HUMAN	rev_P14136	rev_GFAP_HUMAN	rev_GFAP	432	Homo sapiens	Glial fibrillary acidic protein	1:Experimental evidence at protein level	2.31	1.0000	0.9790	1	1	1	3	3	3	3.455973E10	3.455973E10	3.455973E10			
rev_sp|P17661|DESM_HUMAN	rev_P17661	rev_DESM_HUMAN	rev_DES	470	Homo sapiens	Desmin	1:Experimental evidence at protein level	2.77	1.0000	0.9801	1	1	1	2	2	2	0	0	0			
rev_sp|P18074|ERCC2_HUMAN	rev_P18074	rev_ERCC2_HUMAN	rev_ERCC2	760	Homo sapiens	General transcription and DNA repair factor IIH helicase subunit XPD	1:Experimental evidence at protein level	1.97	1.0000	0.9855	1	1	1	1	1	1	1.9607928E7	1.9607928E7	1.9607928E7	12C(57.0214)		
rev_sp|P21817|RYR1_HUMAN	rev_P21817	rev_RYR1_HUMAN	rev_RYR1	5038	Homo sapiens	Ryanodine receptor 1	1:Experimental evidence at protein level	0.60	1.0000	0.9733	2	2	2	2	2	2	0	0	0	13M(15.9949), 14C(57.0214)		
rev_sp|P23246|SFPQ_HUMAN	rev_P23246	rev_SFPQ_HUMAN	rev_SFPQ	707	Homo sapiens	Splicing factor, proline- and glutamine-rich	1:Experimental evidence at protein level	1.41	1.0000	0.9788	1	1	1	1	1	1	4.7281232E7	4.7281232E7	4.7281232E7			
rev_sp|P31629|ZEP2_HUMAN	rev_P31629	rev_ZEP2_HUMAN	rev_HIVEP2	2446	Homo sapiens	Transcription factor HIVEP2	1:Experimental evidence at protein level	0.29	1.0000	0.9413	1	1	1	1	1	1	1.5433128E7	1.5433128E7	1.5433128E7			
rev_sp|P35580|MYH10_HUMAN	rev_P35580	rev_MYH10_HUMAN	rev_MYH10	1976	Homo sapiens	Myosin-10	1:Experimental evidence at protein level	0.61	1.0000	0.9908	1	1	1	1	1	1	0	0	0			
