Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Perdu-Alloy Pauline\organoides fixes\TU014848CK_Slot1-01_1_3103.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014849CK_Slot1-02_1_3104.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014850CK_Slot1-03_1_3105.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014851CK_Slot1-04_1_3106.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014852CK_Slot1-05_1_3107.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014853CK_Slot1-06_1_3108.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014854CK_Slot1-07_1_3109.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014855CK_Slot1-08_1_3110.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014856CK_Slot1-09_1_3111.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014857CK_Slot1-10_1_3112.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014858CK_Slot1-11_1_3113.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014859CK_Slot1-12_1_3114.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014861CK_Slot1-25_1_3116.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014862CK_Slot1-26_1_3117.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014863CK_Slot1-27_1_3118.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014864CK_Slot1-28_1_3119.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014865CK_Slot1-29_1_3120.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014866CK_Slot1-30_1_3121.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014867CK_Slot1-31_1_3122.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014868CK_Slot1-32_1_3123.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014869CK_Slot1-33_1_3124.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014870CK_Slot1-34_1_3125.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014871CK_Slot1-35_1_3126.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014872CK_Slot1-36_1_3127.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014874CK_Slot1-13_1_3129.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014875CK_Slot1-14_1_3131.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014876CK_Slot1-15_1_3132.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014877CK_Slot1-16_1_3133.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014878CK_Slot1-17_1_3134.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014879CK_Slot1-18_1_3135.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014880CK_Slot1-19_1_3136.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014881CK_Slot1-20_1_3137.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014882CK_Slot1-21_1_3138.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014883CK_Slot1-22_1_3139.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014884CK_Slot1-39_1_3140.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014885CK_Slot1-40_1_3141.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014886CK_Slot1-41_1_3142.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014887CK_Slot1-42_1_3143.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014888CK_Slot1-43_1_3144.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014889CK_Slot1-44_1_3145.d	H:\Perdu-Alloy Pauline\organoides fixes\TU014890CK_Slot1-45_1_3146.d
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4196.11	540.481	2612.03	2922.51	2750.27	3195.28	2727.67	3799.2		2913.32	1980.22	2457.82	2394.31	1184.78	3143.94	2165.38	1787.38	1589.99	2023.11	2355.32	2008.14	1806.99	2940.52	3848.06		2168.84	3175.01	2847.3	3467.37	2197.76			4290.88	2405.49	2483.23	3019.52	4342.02	2692.62	2457.28	2778.09	2690.3
A6NKG5	A6NKG5	RTL1_HUMAN	RTL1	Retrotransposon-like protein 1																					4507.58																				
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	929.654	3296.04	1331.88	1881.72	1729.91	1524.78	1032.02	1886.15		1526.12	1269.27	3001.59	1093.19	1732.64	1420.34	2374.98	1298.58	1771.22	1866.13		1800.97	1215.46	1554.28	1500.29		4587.53	5017.28	5000.04							8437.18						4294.26
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1967.12	1428.14	1999.44	1463.05	1323.9	1372.38		2407.29		2777.82	2000.98				3855.98	3024.42		1511.06	1989.81					1617.3																	
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	770.929	795.646	514.414	914.264	781.026	1074.13	1176.7	946.608		1368.37	1089.21	1427.55	1150.66	1177.19	761.535	677.928	653.811	1116.27	755.765	1581.84	732.401	930.541	1055.97	1023.4		1751.48		1459.18	1765.76	1496.56	1718.83	2141.55	1732.94	1782.34	1733.04	1549.37	1798.84	1463.09	1945.14	1788.28	1401.71
O00204	O00204	ST2B1_HUMAN	SULT2B1	Sulfotransferase family cytosolic 2B member 1		1153.23			813.154								766.599			1174.58							1835.37												1722.4						
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	682.006	444.485						673.966		769.379	1169.74		1000.51			846.548	812.891	739.542			583.888	1571.53	925.877	1389.8				3089.38								2444.53	2555.63	2500.14	1768.16	1741.57	1419.97
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1		594.713				497.541													795.784		1051.9																				
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F		383.589		351.465		295.664									635.848					431.992			278.327																		
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14		376.019		1031.32	483.502	641.012		333.596		1000.06			1358.88		736.834	587.559		746.691	1229.46	1337.5	838.714	738.739	1164.21	652.228				1277.65						1581.03	1143.53	1406.69		1332.14	1333.44	1523.87	1479.91
O00571	O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	974.608	1001.6		807.65	1015.69	1098.89		1105.14		1039.61	910.887		806.952			738.011	614.281		847.308	632.662	1018.63	897.831	1443.58				1477.17														1452.92
O14602;P47813	O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	749.862	270.883		667.946	769.838	741.414	1174.96	1274		928.213	1093.59		1015.75	784.195	1331.22	547.794	663.959	464.7	1120.87	1051.83	719.374	1166.45		1703.73																	
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	934.557	893.165	1434			550.189		495.761					1000	390.403				934.452	1520.26							1418.33		1952.6		1654.15					1728.03						1459.14
