tissue_name,# training instances,% training instances,average % of missingness
Testis,108,10.03,66.69515994225362
Liver,95,8.82,70.84568041942102
Brain,51,4.74,65.70482307351936
Lung,49,4.55,67.67955415583148
NK-cells,47,4.36,48.35029996750554
Placenta,46,4.27,71.94279541332594
Pancreas,42,3.9,73.92675328622444
Colon,39,3.62,68.98879556732304
Kidney,34,3.16,65.63576878209683
Stomach,32,2.97,70.36628105767039
Ovary,32,2.97,67.67010485525417
Pituitary gland,32,2.97,74.08322885798951
Small intestine,32,2.97,66.62226464554365
Adrenal gland,27,2.51,66.11368605897897
Heart,26,2.41,71.24984657466992
B-cells,25,2.32,64.24982904034647
Duodenum,24,2.23,68.47788921814451
Salivary gland,24,2.23,68.84165336980473
Urinary bladder,23,2.14,71.40067987433227
Oviduct,23,2.14,67.07366626693492
Endometrium,21,1.95,70.4918210730839
Tonsil,21,1.95,69.5214215159508
Thyroid,21,1.95,71.48392979256896
Parotid gland,20,1.86,73.96284476863461
Rectum,20,1.86,68.60382949623889
Esophagus,20,1.86,72.9952131297014
Lymph node,19,1.76,73.32909433373723
Prostate,19,1.76,68.88534305903806
Spleen,19,1.76,73.09514954470745
Adipose tissue,18,1.67,75.27543499734062
Nasal polyps,16,1.49,73.84602233872806
Smooth muscle,15,1.39,70.34723805181977
Appendix,13,1.21,75.36778243411477
Skeletal muscle,12,1.11,68.11222551477852
Monocytes,12,1.11,72.6236608160474
