Intensity Apols_1	Intensity Apols_2	Intensity Apols_3	Intensity Apols_4	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs
NaN	20,1922	18,7744	NaN			+	3	3	2	8,6	8,6	6,5	47,082	0	18,55	4765900	3	sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ82	sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ82
NaN	20,7565	NaN	NaN			+	2	1	1	1,7	1	1	164,34	0,0090634	6,2885	1771400	1	CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146
NaN	NaN	NaN	23,3339			+	19	5	5	26,2	9,9	9,9	63,165	0	95,315	10573000	7	CON__ENSEMBL:ENSBTAP00000038253;CON__REFSEQ:XP_932229	CON__ENSEMBL:ENSBTAP00000038253
23,7537	20,2405	21,9332	19,2914			+	10	8	1	21	17,3	1,9	53,5	0	176,32	20198000	15	sp|O43790|KRT86_HUMAN;CON__O43790;CON__Q14533;sp|Q14533|KRT81_HUMAN;CON__Q61726	sp|O43790|KRT86_HUMAN;CON__O43790;CON__Q14533;sp|Q14533|KRT81_HUMAN
19,3829	24,0406	20,408	NaN			+	11	10	7	30,4	28,9	21	52,247	0	64,556	19331000	10	sp|O76013|KRT36_HUMAN;CON__O76013	sp|O76013|KRT36_HUMAN;CON__O76013
33,5856	33,3224	32,9603	33,0389			+	8	8	8	52,4	52,4	52,4	24,409	0	323,31	68624000000	453	CON__P00761	CON__P00761
20,7788	NaN	NaN	NaN			+	3	1	1	21,8	10,6	10,6	15,184	0	18,179	1799100	1	CON__P01966	CON__P01966
29,774	29,2046	28,5417	29,8669			+	38	32	4	61,2	55,9	12,7	51,561	0	323,31	3220100000	218	sp|P02533|K1C14_HUMAN;CON__P02533;sp|P35900|K1C20_HUMAN;CON__P35900;CON__Q9D312	sp|P02533|K1C14_HUMAN;CON__P02533
18,6891	NaN	23,1074	23,0186			+	16	3	3	24,4	7,7	7,7	57,769	0	41,197	59929000	14	CON__P02535-1;sp|Q2M2I5|K1C24_HUMAN;CON__Q2M2I5	CON__P02535-1
24,8201	21,9155	24,3586	25,65			+	44	2	2	62,8	3,5	3,5	60,044	0	19,116	124530000	11	sp|P02538|K2C6A_HUMAN;CON__P02538;CON__Q8VED5;CON__H-INV:HIT000016045	sp|P02538|K2C6A_HUMAN;CON__P02538
20,9834	22,4844	NaN	24,8773			+	5	5	5	33,7	33,7	33,7	22,975	0	59,071	38760000	12	CON__P02662	CON__P02662
20,3161	19,9458	NaN	21,3822			+	3	3	3	14	14	14	24,348	0	16,61	11574000	3	CON__P02663	CON__P02663
23,86	21,5997	NaN	23,4893			+	2	2	2	12,4	12,4	12,4	23,583	0	35,788	67454000	10	CON__P02666	CON__P02666
